휴게소명,도로종류,도로노선번호,도로노선명,도로노선방향,위도,경도,휴게소종류,휴게소운영시작시각,휴게소운영종료시각,도로점용면적,주차면수,경정비가능여부,주유소유무,LPG충전소유무,전기차충전소유무,버스환승가능여부,쉼터유무,화장실유무,약국유무,수유실유무,매점유무,음식점유무,기타편의시설,휴게소대표음식명,휴게소전화번호,데이터기준일자,제공기관코드,제공기관명,
단양(부산방향)휴게소,고속국도,55,중앙선,,36.995355,128.287598,일반휴게소,00:00,23:59,31481,,,Y,Y,Y,N,Y,Y,,,Y,Y,,단양마늘약초갈비탕,043-423-5403,2019-04-20,4480000,충청북도 단양군,
옥거쉼터,지방도,795,진용로,,35.943484,127.494575,간이휴게소,09:00,20:00,10,,N,N,N,N,N,Y,Y,N,N,N,N,,,063-430-8711,2018-08-24,4730000,전라북도 진안군,
와룡쉼터,군도,22,주용로,,35.953011,127.466423,간이휴게소,09:00,20:00,20,,N,N,N,N,N,Y,Y,N,N,N,N,,,063-430-8711,2018-08-24,4730000,전라북도 진안군,
용평쉼터,일반국도,30,진무로,,35.876457,127.498212,간이휴게소,09:00,20:00,15,,N,N,N,N,N,Y,Y,N,N,N,N,,,063-430-8711,2018-08-24,4730000,전라북도 진안군,
노성휴게소,일반국도,13,진무로,,35.893581,127.546687,간이휴게소,09:00,21:00,35,,N,N,N,N,N,Y,Y,N,N,Y,N,,"커피,과자류",063-430-8711,2018-08-24,4730000,전라북도 진안군,
삼락쉼터,지방도,795,진용로,,35.935451,127.530235,간이휴게소,09:00,20:00,40,,N,N,N,N,N,Y,Y,N,N,Y,N,,,063-430-8711,2018-08-24,4730000,전라북도 진안군,
월포휴게소,일반국도,30,진무로,,35.876965,127.501088,간이휴게소,09:00,20:00,25,,N,N,N,N,N,Y,Y,N,N,N,N,,,063-430-8711,2018-08-24,4730000,전라북도 진안군,
초양도휴게소,일반국도,0,0,상행,34.9255272,128.0456998,일반휴게소,00:00,24:00,0,51,N,N,N,N,N,Y,Y,N,N,Y,N,"파고라, 탐방안내소",,055-000-0000,2019-04-03,5340000,경상남도 사천시,
IC만남의광장,군도,7호,군도7호,,35.974202,127.651079,일반휴게소,00:00,23:59,582,150,N,N,N,N,N,Y,Y,N,N,Y,Y,,,000-000-0000,2018-08-22,4740000,전라북도 무주군,
증평 인삼관광휴게소,지방도,510,지방도,,36.795296,127.587986,간이휴게소,00:00,24:00,12358,,N,N,N,Y,N,Y,Y,N,N,Y,Y,,,043-835-3761,2018-08-23,5570000,충청북도 증평군,
영종대교휴게소,고속국도,130,인천국제공항선,하행,37.553795,126.607044,일반휴게소,08:00,21:00,10115,82,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,느린우체통+전망대+ATM+하이패스무인충전기,장터국밥+수제왕돈까스+전주비빕밥,032-560-6400,2018-05-02,1611000,국토교통부,
정안알밤휴게소(상행),고속국도,25,논산천안선,상행,36.568514,127.113663,일반휴게소,00:00,24:00,20344,277,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,ATM,왕갈비탕+제육화로구이,041-858-0562,2018-05-02,1611000,국토교통부,
정안알밤휴게소(하행),고속국도,25,논산천안선,하행,36.572056,127.113535,일반휴게소,00:00,24:00,17358,332,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,ATM+다람쥐공원,왕갈비탕+알밤한우돌솥비빔밥,041-858-0522,2018-05-02,1611000,국토교통부,
이인휴게소,고속국도,25,논산천안선,상행,36.351691,127.068272,일반휴게소,00:00,24:00,18461,194,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,ATM+장승공원,왕갈비탕+생생돈가스,041-856-8351,2018-05-02,1611000,국토교통부,
탄천휴게소,고속국도,25,논산천안선,하행,36.320162,127.071268,일반휴게소,00:00,24:00,18703,184,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,ATM+백제문화갤러리+공주 장선리 토실 유적지,왕갈비탕+생생돈가스,041-854-3521,2018-05-02,1611000,국토교통부,
청도새마을휴게소(상행),고속국도,55,중앙선,상행,35.589988,128.767670,일반휴게소,00:00,24:00,61078,289,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,샤워실+세탁실+ATM+내고장특산물코너+와이파이공유기+쓰레기통,새마을육개장,054-373-6280,2018-05-02,1611000,국토교통부,
청도새마을휴게소(하행),고속국도,55,중앙선,하행,35.599057,128.768933,일반휴게소,00:00,24:00,53473,253,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,전망대+샤워실+세탁실+ATM+내고장특산물코너+와이파이공유기+쓰레기통,새마을육개장,054-373-8121,2018-05-02,1611000,국토교통부,
양주간이휴게소,고속국도,100,서울외곽순환선,하행,37.4046243,126.5510345,간이휴게소,00:00,24:00,5965,81,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,ATM,덕평소고기 국밥,031-871-2994,2018-05-02,1611000,국토교통부,
장안휴게소(상행),고속국도,65,부산울산선,상행,35.379502,129.247713,일반휴게소,00:00,24:00,40848,154,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,ATM+특산물코너,사골버섯육개장,051-727-3714,2018-05-02,1611000,국토교통부,
장안휴게소(하행),고속국도,65,부산울산선,하행,35.381913,129.247302,일반휴게소,00:00,24:00,45721,154,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,ATM+특산물코너+산책로,사골버섯육개장,051-727-3647,2018-05-02,1611000,국토교통부,
가평휴게소(상행),고속국도,60,서울양양선(서울~춘천),하행,37.701486,127.543445,일반휴게소,00:00,24:00,52236,565,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,ATM+특산물코너+야외테라스 쉼터+핸드폰 충전기+고객용 PC 및 프린터+고객 도움벨,가평잣소고기국밥+가평잣산채비빔밥+해물순두부찌개,031-584-1425,2018-05-02,1611000,국토교통부,
가평휴게소(하행),고속국도,60,서울양양선(서울~춘천),상행,37.702608,127.546298,일반휴게소,00:00,24:00,52697,581,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,ATM+애견파크+야외테라스 쉼터+핸드폰 충전기+고객용 PC 및 프린터+고객 도움벨,가평잣소고기국밥+가평잣산채비빔밥+해물순두부찌개,031-584-1426,2018-05-02,1611000,국토교통부,
오산휴게소(상행),고속국도,400,수도권제2순환선,상행,37.178892,127.036575,일반휴게소,00:00,24:00,51647,182,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,ATM,곤드레돌솥비빔밥+짬뽕순두부찌개,031-370-5550,2018-05-02,1611000,국토교통부,
오산휴게소(하행),고속국도,400,수도권제2순환선,하행,37.175917,127.038088,일반휴게소,00:00,24:00,62167,231,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,ATM,곤드레돌솥비빔밥+짬뽕순두부찌개,031-370-5500,2018-05-02,1611000,국토교통부,
송산포도휴게소,고속국도,153,평택시흥선,양방향,37.234958,126.760237,일반휴게소,00:00,24:00,116726,586,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,샤워실+세탁실+ATM+특산물,우렁된장찌개,031-355-1564,2018-05-02,1611000,국토교통부,
경기광주휴게소(상행),고속국도,52,광주원주고속도로,상행,37.380758,127.425385,일반휴게소,00:00,24:00,38613,252,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,"고객용PC,ATM,휴대폰충전기,하이패스무인충전기,프린터, FAX","소머리곰탕,교동짬뽕",031-8027-3945,2018-05-02,1611000,국토교통부,
경기광주휴게소(하행),고속국도,52,광주원주고속도로,하행,37.379740,127.436260,일반휴게소,00:00,24:00,38897,242,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,"고객용PC,ATM,휴대폰충전기,하이패스무인충전기,프린터, FAX","소불고기반상,갑오징어와제육불고기쌈밥",031-8027-3940,2018-05-02,1611000,국토교통부,
양평휴게소(상행),고속국도,52,광주원주고속도로,상행,37.399238,127.723546,일반휴게소,00:00,24:00,34768,222,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,"고객용PC,ATM,휴대폰충전기,하이패스무인충전기,프린터, FAX","양평가마솥장터국밥,양평궁비빔밥",031-8027-2191,2018-05-02,1611000,국토교통부,
양평휴게소(하행),고속국도,52,광주원주고속도로,하행,37.397226,127.726705,일반휴게소,00:00,24:00,34485,280,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,"고객용PC,ATM,휴대폰충전기,하이패스무인충전기,프린터, FAX","양평가마솥장터국밥,양평궁비빔밥",031-8027-2172,2018-05-02,1611000,국토교통부,
낙동강의성휴게소,고속국도,301,상주영천선,하행,36.343660,128.300492,일반휴게소,00:00,24:00,48351,251,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,샤워실+세탁실+ATM+기사식당,의성마늘돈까스,054-475-2975,2018-05-02,1611000,국토교통부,
낙동강구미휴게소,고속국도,301,상주영천선,상행,36.346071,128.296200,일반휴게소,00:00,24:00,48338,250,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,샤워실+세탁실+ATM+기사식당,버섯국밥,054-475-2971,2018-05-02,1611000,국토교통부,
군위영천휴게소,고속국도,301,상주영천선,하행,36.071348,128.708164,일반휴게소,00:00,24:00,53830,260,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,샤워실+세탁실+ATM+기사식당,추억의 도시락,054-383-8448,2018-05-02,1611000,국토교통부,
삼국유사군위휴게소,고속국도,301,상주영천선,상행,36.079721,128.696781,일반휴게소,00:00,24:00,52679,260,N,Y,Y,N,N,Y,Y,N,Y,Y,Y,샤워실+세탁실+ATM+기사식당,추억의 도시락,054-383-8778,2018-05-02,1611000,국토교통부,
별내휴게소,고속국도,29,세종포천선(구리~포천),하행,37.7068902,127.126789,일반휴게소,00:00,24:00,41358,247,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,"샤워실,+세탁실+수면실+ATM",남양주식불고기비빔밥,031-524-9773,2018-05-02,1611000,국토교통부,
의정부휴게소,고속국도,29,세종포천선(구리~포천),상행,37.435893,127.114709,일반휴게소,00:00,24:00,39616,259,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,샤워실+세탁실+수면실+ATM,의정부부대찌개,031-928-4113,2018-05-02,1611000,국토교통부,
